URL,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
http://www.cian.ru/sale/flat/149499452/,3,19707000,108.7,53.0,12.0,12.168,1,1,1,None,0,9,20,1
http://www.cian.ru/sale/flat/149472326/,4,79606764,170.0,95.2,18.0,2.814,5,1,1,0,0,3,11,0
http://www.cian.ru/sale/flat/149886464/,2,7000000,52.0,31.0,10.0,15.963,18,1,0,1,0,2,12,0
http://www.cian.ru/sale/flat/149582831/,1,12149427,38.6,None,None,2.994,8,1,None,None,0,2,7,1
http://www.cian.ru/sale/flat/149808503/,1,7200000,32.0,19.0,6.0,5.281,15,1,1,None,1,3,9,0
http://www.cian.ru/sale/flat/150967178/,1,5532052,38.3,None,None,14.388,7,0,1,None,0,5,7,1
http://www.cian.ru/sale/flat/150678616/,1,4500000,42.2,20.0,8.7,27.644,15,0,None,None,1,4,10,0
http://www.cian.ru/sale/flat/148971781/,1,6350000,35.4,15.1,8.5,15.467,None,None,1,None,1,1,24,1
http://www.cian.ru/sale/flat/150588091/,2,5300000,45.0,29.0,6.0,16.794,15,0,None,1,1,9,12,0
http://www.cian.ru/sale/flat/150458434/,1,8700000,36.0,20.0,8.0,5.534,7,1,1,1,1,6,14,0
http://www.cian.ru/sale/flat/149269903/,1,6990000,38.0,18.0,9.0,7.469,11,1,None,1,1,4,12,0
http://www.cian.ru/sale/flat/148794690/,2,9500000,57.0,40.0,9.0,14.713,10,0,0,1,1,12,16,0
http://www.cian.ru/sale/flat/150207660/,3,7699000,52.0,34.0,7.0,14.457,7,1,0,1,0,2,9,0
http://www.cian.ru/sale/flat/148397374/,2,6950000,47.0,28.0,7.0,16.279,19,1,None,1,1,2,9,0
http://www.cian.ru/sale/flat/150587606/,1,4499000,35.0,19.0,11.0,16.449,5,0,None,1,1,9,14,0
http://www.cian.ru/sale/flat/49066519/,1,6400000,39.0,20.0,11.0,6.510,14,1,0,None,1,14,15,0
http://www.cian.ru/sale/flat/150124964/,2,4500000,38.0,24.0,8.0,18.120,15,0,None,0,0,2,9,0
http://www.cian.ru/sale/flat/149480686/,2,8700000,32.6,20.0,8.0,7.374,10,1,1,1,0,2,5,0
http://www.cian.ru/sale/flat/150921611/,1,5000000,36.0,20.0,9.0,13.875,1,1,1,None,1,4,12,0
http://www.cian.ru/sale/flat/148780268/,1,5850000,39.0,21.0,9.0,17.067,5,1,0,0,0,2,12,0
http://www.cian.ru/sale/flat/24265134/,3,12500000,60.0,46.0,12.0,10.445,10,1,1,1,1,5,9,0
http://www.cian.ru/sale/flat/149758271/,1,5300000,43.0,21.0,9.0,17.431,15,0,0,1,1,12,12,0
http://www.cian.ru/sale/flat/150494769/,1,3081784,27.9,27.9,None,26.319,15,1,1,None,0,17,17,1
http://www.cian.ru/sale/flat/149047227/,1,6082311,40.6,14.7,12.0,11.050,10,1,1,None,0,3,18,1
http://www.cian.ru/sale/flat/150682353/,1,6500000,32.0,20.0,6.0,7.462,10,1,0,1,1,7,9,0
http://www.cian.ru/sale/flat/150639606/,2,8000000,49.4,28.4,8.0,6.970,6,1,1,1,1,4,5,0
http://www.cian.ru/sale/flat/146264108/,1,4700000,34.8,19.0,8.0,16.242,12,1,0,None,0,12,12,0
http://www.cian.ru/sale/flat/148984634/,2,6100000,43.0,27.0,6.0,11.903,14,1,None,None,1,4,5,0
http://www.cian.ru/sale/flat/40369553/,2,12500000,54.2,25.0,16.0,11.689,13,1,0,None,0,18,19,0
http://www.cian.ru/sale/flat/149500085/,2,21300000,66.0,35.0,13.0,2.824,3,1,0,1,0,4,9,0
http://www.cian.ru/sale/flat/150287011/,6,223077400,879.0,None,None,12.277,2,0,1,None,0,24,28,0
http://www.cian.ru/sale/flat/150976806/,1,7400000,39.2,21.0,8.7,18.508,5,1,0,1,1,12,12,0
http://www.cian.ru/sale/flat/149455229/,3,6500000,57.0,38.0,6.0,14.925,10,1,0,0,1,1,9,0
http://www.cian.ru/sale/flat/150922732/,1,6100000,35.4,20.1,10.1,11.771,19,1,None,None,1,7,12,0
http://www.cian.ru/sale/flat/141092207/,1,5400000,45.9,20.3,10.0,16.372,30,1,1,None,1,9,15,1
http://www.cian.ru/sale/flat/150359253/,1,9007000,53.5,21.8,13.2,19.068,10,0,1,None,1,14,24,1
http://www.cian.ru/sale/flat/150639784/,2,5500000,44.4,27.0,5.8,10.789,15,1,1,0,1,2,5,0
http://www.cian.ru/sale/flat/150533753/,1,6600000,41.0,21.0,9.0,13.931,2,1,0,1,1,9,12,0
http://www.cian.ru/sale/flat/150278539/,1,7500000,42.0,22.0,10.0,17.977,None,None,None,1,1,13,19,0
http://www.cian.ru/sale/flat/150977773/,1,6800000,27.0,17.0,5.4,6.318,10,1,1,0,0,4,5,0
http://www.cian.ru/sale/flat/150311678/,2,6590000,41.0,23.0,6.0,19.578,21,1,None,None,1,2,12,0
http://www.cian.ru/sale/flat/150753940/,1,5700000,39.0,21.0,8.9,17.988,5,1,None,1,1,4,12,0
http://www.cian.ru/sale/flat/151025744/,2,5490000,45.0,26.0,6.0,12.589,9,1,None,None,1,2,5,0
http://www.cian.ru/sale/flat/149138184/,1,8700000,38.0,19.0,8.0,18.896,15,1,None,None,1,3,17,0
http://www.cian.ru/sale/flat/148397502/,2,6200000,37.0,23.0,6.0,13.060,15,1,0,0,1,5,14,0
http://www.cian.ru/sale/flat/150650015/,1,5590000,32.0,21.0,6.0,14.851,5,1,0,0,1,2,5,0
http://www.cian.ru/sale/flat/149401821/,1,4500000,39.0,20.0,10.0,18.061,15,0,0,1,1,11,17,0
http://www.cian.ru/sale/flat/37630744/,3,41428660,119.0,119.0,None,1.900,5,1,None,None,0,3,6,0
http://www.cian.ru/sale/flat/151050106/,1,4413076,26.2,18.0,10.0,9.597,9,0,1,None,1,2,25,1
http://www.cian.ru/sale/flat/150068526/,1,4833000,27.0,None,None,14.171,2,1,1,None,1,14,29,1
http://www.cian.ru/sale/flat/149117086/,1,7700000,37.0,18.0,10.0,10.478,5,0,0,1,0,8,12,0
http://www.cian.ru/sale/flat/151033056/,2,6500000,45.0,28.0,6.0,8.937,10,1,1,None,1,2,5,0
http://www.cian.ru/sale/flat/147894088/,2,5300000,45.0,38.0,7.0,19.398,15,0,0,None,0,7,9,0
http://www.cian.ru/sale/flat/151064243/,1,3893220,38.7,None,None,19.756,5,0,None,None,1,17,25,1
http://www.cian.ru/sale/flat/50095610/,1,5600000,35.0,17.0,10.0,19.781,20,1,None,1,1,10,12,0
