URL,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
http://www.cian.ru/sale/flat/149876635/,3,18900000,84.0,60.0,9.0,10.583,15,1,1,1,1,3,9.0,0
http://www.cian.ru/sale/flat/149480686/,2,8700000,32.6,20.0,8.0,7.374,10,1,1,1,0,2,5.0,0
http://www.cian.ru/sale/flat/149203428/,2,7500000,56.0,34.0,9.0,18.370,24,1,None,None,1,6,7.0,0
http://www.cian.ru/sale/flat/150477482/,4,22500000,100.0,63.0,10.0,15.033,1,1,0,1,1,4,22.0,0
http://www.cian.ru/sale/flat/150942775/,1,5500000,32.0,20.0,6.0,6.938,4,1,None,1,0,1,9.0,0
http://www.cian.ru/sale/flat/150286516/,1,5200000,32.0,25.0,7.0,13.378,20,1,0,None,1,5,9.0,0
http://www.cian.ru/sale/flat/150607187/,1,6450000,35.1,19.3,8.0,6.647,7,1,0,1,0,5,12.0,0
http://www.cian.ru/sale/flat/148260635/,1,6697962,32.9,16.0,6.0,6.276,10,1,1,None,0,2,46.0,1
http://www.cian.ru/sale/flat/150759600/,3,16435000,100.0,None,18.5,19.082,5,0,1,None,1,5,24.0,1
http://www.cian.ru/sale/flat/150197567/,3,12038670,59.1,None,None,13.645,14,1,1,None,0,6,22.0,1
http://www.cian.ru/sale/flat/150357547/,3,16300000,100.0,68.0,9.0,10.010,10,1,1,0,1,4,5.0,0
http://www.cian.ru/sale/flat/150457683/,1,4064358,35.0,22.0,None,20.646,None,None,1,None,1,8,19.0,1
http://www.cian.ru/sale/flat/149759102/,1,5100000,32.0,18.0,6.0,15.095,None,None,None,1,1,4,5.0,0
http://www.cian.ru/sale/flat/150355770/,3,18000000,78.0,44.0,10.0,15.513,2,0,1,1,1,5,22.0,0
http://www.cian.ru/sale/flat/150947320/,2,13800000,66.1,47.0,None,8.467,16,1,1,None,1,3,24.0,0
http://www.cian.ru/sale/flat/151090217/,1,4250000,37.0,19.0,10.0,18.682,10,0,0,None,1,14,16.0,0
http://www.cian.ru/sale/flat/147619830/,2,6950000,44.0,28.0,6.0,6.838,5,1,1,None,0,1,5.0,0
http://www.cian.ru/sale/flat/150453622/,2,28500000,70.0,34.0,10.0,4.753,10,1,1,1,0,9,11.0,0
http://www.cian.ru/sale/flat/151095514/,1,6700000,37.0,19.0,8.4,12.963,10,0,0,None,1,9,18.0,0
http://www.cian.ru/sale/flat/150869270/,1,5200000,31.7,16.7,7.0,13.310,7,1,0,None,1,9,9.0,0
http://www.cian.ru/sale/flat/151076448/,1,5250000,32.5,21.4,5.2,15.030,5,1,0,1,1,5,9.0,0
http://www.cian.ru/sale/flat/150197817/,2,7656000,52.8,25.6,6.8,12.643,7,0,1,None,0,16,19.0,1
http://www.cian.ru/sale/flat/151072705/,3,9250000,60.5,43.1,6.0,16.148,18,1,0,None,1,4,9.0,0
http://www.cian.ru/sale/flat/151094503/,2,8300000,38.0,23.0,7.0,10.514,10,1,0,None,0,2,9.0,0
http://www.cian.ru/sale/flat/149578993/,1,5674200,38.6,33.1,None,13.260,14,1,None,None,1,6,14.0,0
http://www.cian.ru/sale/flat/142965624/,1,6500000,39.0,20.0,9.0,9.516,20,1,0,1,1,2,5.0,0
http://www.cian.ru/sale/flat/150714874/,1,6250000,33.0,19.0,6.0,10.462,12,1,1,1,1,8,9.0,0
http://www.cian.ru/sale/flat/148771722/,1,5200000,33.0,18.0,7.0,15.611,14,1,0,None,1,5,12.0,0
http://www.cian.ru/sale/flat/150351203/,2,16855825,82.6,42.7,15.9,8.156,5,1,1,0,1,28,34.0,0
http://www.cian.ru/sale/flat/149600057/,3,17579021,90.7,51.2,12.6,17.010,5,1,1,None,1,10,13.0,1
http://www.cian.ru/sale/flat/149741692/,1,9900000,43.4,None,None,10.289,7,0,1,None,0,16,29.0,0
http://www.cian.ru/sale/flat/150651077/,2,4300000,43.0,27.0,6.0,21.612,15,0,1,1,0,1,5.0,0
http://www.cian.ru/sale/flat/151097310/,1,5450000,31.8,21.8,5.0,18.246,29,1,0,None,1,6,9.0,0
http://www.cian.ru/sale/flat/140956050/,3,9200000,83.5,45.0,10.3,18.790,10,0,0,None,1,20,22.0,0
http://www.cian.ru/sale/flat/151051725/,1,5248600,37.5,None,None,13.077,4,0,1,None,1,18,25.0,1
http://www.cian.ru/sale/flat/150222244/,1,25434513,26.0,None,None,1.281,7,1,1,1,0,2,9.0,0
http://www.cian.ru/sale/flat/149644332/,3,8490000,64.0,46.0,7.0,17.601,20,1,0,1,1,2,12.0,0
http://www.cian.ru/sale/flat/150118286/,1,6500000,32.0,20.0,6.0,5.570,20,1,0,None,0,1,5.0,0
http://www.cian.ru/sale/flat/150339271/,1,3164141,28.8,None,None,16.469,3,0,None,None,1,15,18.0,1
http://www.cian.ru/sale/flat/150936774/,2,5300000,45.0,28.2,6.0,18.079,None,None,0,0,0,9,9.0,0
http://www.cian.ru/sale/flat/28206598/,3,16523154,75.0,43.4,13.9,8.802,1,1,0,None,1,6,25.0,1
http://www.cian.ru/sale/flat/148408246/,3,16890000,88.8,46.2,10.0,17.450,5,1,0,0,1,14,18.0,0
http://www.cian.ru/sale/flat/150267281/,3,6600000,53.1,35.4,5.5,16.449,15,1,None,None,1,5,9.0,0
http://www.cian.ru/sale/flat/149692997/,3,39990000,128.0,71.0,16.0,10.226,15,1,None,0,1,7,17.0,0
http://www.cian.ru/sale/flat/148223840/,1,11000700,71.9,32.5,16.2,14.062,15,0,1,0,0,4,7.0,0
http://www.cian.ru/sale/flat/147215248/,1,9000000,36.7,16.0,10.1,4.284,9,1,1,1,0,1,16.0,0
http://www.cian.ru/sale/flat/151016689/,2,5500000,44.0,28.8,6.5,13.487,10,0,0,1,1,4,9.0,0
http://www.cian.ru/sale/flat/26309806/,2,18000000,50.0,31.0,None,3.907,2,1,1,1,1,6,9.0,0
http://www.cian.ru/sale/flat/150520211/,2,6100000,42.0,35.0,6.0,12.498,10,0,1,1,1,3,5.0,0
http://www.cian.ru/sale/flat/150977762/,4,19500000,140.0,81.0,15.0,7.890,15,1,1,0,1,5,20.0,0
http://www.cian.ru/sale/flat/150886569/,1,3990000,31.0,20.0,7.0,19.288,5,0,None,1,1,7,12.0,0
http://www.cian.ru/sale/flat/151047176/,1,5500000,35.0,15.0,11.0,18.140,14,1,0,1,1,5,10.0,0
http://www.cian.ru/sale/flat/148900746/,2,8650000,50.6,29.7,8.1,19.879,12,1,None,None,1,6,14.0,0
http://www.cian.ru/sale/flat/149257989/,2,13000000,60.4,33.5,11.8,11.728,9,1,0,None,1,4,17.0,0
http://www.cian.ru/sale/flat/149417093/,1,8628060,46.1,19.0,11.0,5.751,15,1,1,None,1,3,14.0,1
http://www.cian.ru/sale/flat/150146446/,1,9500000,40.0,19.0,9.0,16.282,5,1,None,None,1,10,17.0,0
http://www.cian.ru/sale/flat/138095852/,2,23800000,75.0,45.0,15.0,17.285,8,1,None,0,0,27,38.0,0
http://www.cian.ru/sale/flat/150034800/,1,4650000,29.0,16.0,None,24.463,10,1,None,None,1,2,10.0,0
http://www.cian.ru/sale/flat/149668418/,1,5929500,35.4,19.3,3.9,19.815,None,None,None,None,1,23,45.0,1
http://www.cian.ru/sale/flat/150355868/,4,17400000,124.0,80.0,13.5,25.652,10,0,0,0,1,9,12.0,0
http://www.cian.ru/sale/flat/149609868/,1,4800000,34.0,19.0,7.0,12.325,8,0,1,None,1,3,4.0,0
http://www.cian.ru/sale/flat/149385003/,1,5100000,33.0,20.0,6.0,16.712,3,1,0,1,0,3,9.0,0
http://www.cian.ru/sale/flat/151067484/,1,4700000,38.0,20.0,10.0,19.552,10,0,0,None,1,9,17.0,0
http://www.cian.ru/sale/flat/147557099/,3,17500000,70.0,46.0,7.5,9.122,6,1,1,1,1,4,6.0,0
http://www.cian.ru/sale/flat/150148436/,1,5900000,38.7,19.4,8.7,19.263,9,1,None,1,1,15,17.0,0
http://www.cian.ru/sale/flat/145046356/,3,8399000,66.0,44.0,9.4,15.217,15,1,0,1,1,7,12.0,0
http://www.cian.ru/sale/flat/148533758/,2,9300000,42.0,27.0,5.0,7.416,7,1,1,1,1,8,9.0,0
http://www.cian.ru/sale/flat/150335934/,2,46956024,72.0,42.0,15.0,3.237,6,1,0,1,0,11,11.0,0
http://www.cian.ru/sale/flat/150558467/,2,8500000,47.0,30.0,10.0,7.131,None,None,0,1,1,6,9.0,0
http://www.cian.ru/sale/flat/147921380/,2,6250000,43.0,28.0,6.5,16.456,10,1,0,1,1,3,5.0,0
http://www.cian.ru/sale/flat/46762262/,1,7300000,39.0,21.0,9.0,12.933,10,1,0,None,1,3,14.0,0
http://www.cian.ru/sale/flat/151000954/,2,20000000,77.7,44.0,15.0,16.810,14,1,1,None,1,6,23.0,0
http://www.cian.ru/sale/flat/150959143/,1,5600000,36.0,15.0,9.0,13.879,5,0,0,0,1,10,17.0,0
http://www.cian.ru/sale/flat/148785309/,2,53200000,76.0,54.0,9.0,1.913,4,1,None,None,0,2,4.0,1
http://www.cian.ru/sale/flat/150967068/,2,9426228,69.7,16.8,13.3,14.388,7,0,1,None,0,4,7.0,1
http://www.cian.ru/sale/flat/150676616/,2,6400000,51.9,30.2,8.5,18.760,15,0,None,1,1,7,12.0,0
http://www.cian.ru/sale/flat/150689952/,2,6175877,56.1,31.3,7.9,21.822,15,1,1,None,1,16,31.0,1
http://www.cian.ru/sale/flat/151001408/,3,24500000,71.7,46.0,9.0,2.601,2,1,None,1,1,7,9.0,0
http://www.cian.ru/sale/flat/149592465/,1,13287120,36.0,None,None,5.064,7,1,1,None,0,7,7.0,1
http://www.cian.ru/sale/flat/150197630/,1,4002000,27.6,14.0,5.6,12.643,7,0,1,None,0,3,19.0,1
http://www.cian.ru/sale/flat/151095266/,1,4800000,36.0,15.0,9.3,23.707,20,0,0,None,0,2,17.0,0
http://www.cian.ru/sale/flat/150888393/,3,9000000,66.0,44.0,8.0,11.254,10,1,0,1,0,5,5.0,0
http://www.cian.ru/sale/flat/149218729/,1,5600000,33.0,19.0,6.0,16.221,15,1,0,1,0,2,9.0,0
http://www.cian.ru/sale/flat/151090195/,2,7500000,52.0,31.2,10.0,13.581,5,0,0,None,0,11,12.0,0
http://www.cian.ru/sale/flat/150893820/,1,5250000,33.0,19.0,6.0,17.144,15,0,0,1,0,8,9.0,0
http://www.cian.ru/sale/flat/143874103/,1,6000000,38.0,19.0,8.0,15.401,13,1,0,None,1,3,12.0,0
http://www.cian.ru/sale/flat/34389112/,4,57990900,160.0,153.0,None,14.425,15,1,1,1,0,9,23.0,0
http://www.cian.ru/sale/flat/150776498/,2,17500000,74.8,50.0,16.0,6.263,1,1,1,0,0,24,43.0,0
http://www.cian.ru/sale/flat/149698354/,2,32608350,70.0,50.0,None,4.360,10,1,0,None,0,4,11.0,0
http://www.cian.ru/sale/flat/151097275/,2,12516600,46.0,30.9,4.7,15.233,5,1,1,None,0,21,26.0,1
http://www.cian.ru/sale/flat/151130085/,2,7549740,44.3,19.5,15.4,6.972,5,1,1,None,1,2,23.0,1
http://www.cian.ru/sale/flat/150508131/,3,13982560,89.9,53.9,13.7,11.050,10,1,1,None,0,7,18.0,1
http://www.cian.ru/sale/flat/151117465/,3,7990000,54.0,40.0,7.0,21.297,10,0,None,None,1,4,9.0,0
http://www.cian.ru/sale/flat/146357566/,2,14900000,74.0,35.0,13.0,25.946,10,0,1,1,1,5,18.0,0
http://www.cian.ru/sale/flat/150989826/,1,11500000,40.0,19.0,8.0,4.986,1,1,0,1,1,6,17.0,0
http://www.cian.ru/sale/flat/149937613/,3,66000000,94.0,60.0,None,3.640,4,1,None,None,1,6,7.0,0
http://www.cian.ru/sale/flat/150101947/,1,6700000,43.0,21.0,9.0,17.297,10,1,0,None,1,7,12.0,0
http://www.cian.ru/sale/flat/148452445/,1,16000000,55.4,22.6,12.4,14.544,7,1,1,1,1,11,16.0,0
http://www.cian.ru/sale/flat/49222396/,1,11190000,47.3,19.2,9.6,6.752,4,0,0,0,1,5,11.0,0
http://www.cian.ru/sale/flat/150545225/,1,5800000,41.0,24.5,6.0,17.133,15,1,None,None,1,2,12.0,0
http://www.cian.ru/sale/flat/148752692/,2,6300000,44.0,30.0,7.0,12.645,None,None,1,1,1,3,5.0,0
http://www.cian.ru/sale/flat/149717920/,1,5200000,31.0,17.0,5.5,11.390,18,1,0,None,1,3,5.0,0
http://www.cian.ru/sale/flat/149686071/,2,5602500,45.0,29.1,8.0,18.309,10,0,0,None,1,1,25.0,1
http://www.cian.ru/sale/flat/149385624/,4,18050000,100.5,62.2,10.4,17.737,3,1,0,0,1,13,22.0,0
http://www.cian.ru/sale/flat/151143627/,1,10000,33.0,15.0,8.0,12.517,5,1,0,1,1,2,22.0,0
http://www.cian.ru/sale/flat/150259606/,2,6690000,42.0,27.0,6.0,10.981,1,1,0,0,1,4,5.0,0
http://www.cian.ru/sale/flat/151095542/,1,6300000,38.2,20.7,8.7,18.576,10,1,0,None,0,2,12.0,0
http://www.cian.ru/sale/flat/149670431/,3,24000000,82.0,65.0,None,6.565,16,1,0,None,0,2,7.0,0
http://www.cian.ru/sale/flat/148177207/,3,7490000,76.0,43.0,10.0,30.187,None,None,0,1,1,5,17.0,0
http://www.cian.ru/sale/flat/32046700/,1,28499698,38.0,None,None,3.139,8,1,None,None,0,3,6.0,0
http://www.cian.ru/sale/flat/149024152/,2,10200000,50.4,25.8,9.8,12.891,5,0,1,0,1,11,17.0,0
http://www.cian.ru/sale/flat/150454788/,3,36291000,116.1,80.0,30.0,2.610,5,1,1,0,0,2,8.0,0
http://www.cian.ru/sale/flat/30899554/,3,31500000,102.1,57.3,16.0,3.148,3,1,1,1,1,4,6.0,0
http://www.cian.ru/sale/flat/149585069/,3,7000000,77.0,46.0,10.0,30.334,None,None,0,1,1,4,16.0,0
http://www.cian.ru/sale/flat/150829320/,1,7500000,32.2,22.0,4.0,8.795,6,1,0,None,1,9,9.0,0
http://www.cian.ru/sale/flat/23633724/,2,11371950,61.5,36.0,9.0,13.399,13,1,0,0,1,5,17.0,0
http://www.cian.ru/sale/flat/149592329/,1,15656660,55.7,None,None,5.064,7,1,1,None,0,1,3.0,1
http://www.cian.ru/sale/flat/149591788/,1,5550000,33.0,22.0,6.0,9.585,10,1,0,1,1,3,5.0,0
http://www.cian.ru/sale/flat/150947278/,1,6700000,36.8,18.8,6.8,17.747,19,0,0,1,1,10,23.0,0
http://www.cian.ru/sale/flat/149617090/,3,7500000,59.0,44.2,6.0,13.795,12,1,None,None,1,3,9.0,0
http://www.cian.ru/sale/flat/150768526/,2,14920000,74.6,36.7,14.7,8.451,15,0,1,None,1,17,19.0,1
http://www.cian.ru/sale/flat/149100024/,2,6700000,52.7,30.4,8.7,13.241,26,1,None,1,1,8,12.0,0
http://www.cian.ru/sale/flat/150118284/,2,6100000,42.0,26.0,7.0,13.437,20,1,0,1,1,5,5.0,0
http://www.cian.ru/sale/flat/150922642/,1,6100000,39.0,22.0,9.0,15.413,5,1,0,0,0,3,12.0,0
http://www.cian.ru/sale/flat/148044274/,1,6200000,29.9,19.0,6.0,9.180,16,1,1,None,1,3,9.0,0
http://www.cian.ru/sale/flat/151144466/,3,12000000,54.6,44.0,7.0,9.126,5,1,1,1,1,4,5.0,0
http://www.cian.ru/sale/flat/150612973/,1,5250000,33.0,19.0,6.0,17.289,15,0,None,0,1,2,5.0,0
http://www.cian.ru/sale/flat/149997599/,3,14650000,80.1,55.5,8.1,5.732,10,1,0,None,1,3,7.0,0
http://www.cian.ru/sale/flat/150918506/,2,7600000,47.1,32.0,9.0,13.898,15,1,None,1,1,14,14.0,0
http://www.cian.ru/sale/flat/150497209/,1,5790000,42.2,21.1,8.7,17.888,7,1,0,0,1,10,14.0,0
http://www.cian.ru/sale/flat/150438027/,3,42900000,105.0,62.0,18.0,17.337,10,1,1,None,0,2,28.0,0
http://www.cian.ru/sale/flat/149298133/,2,10900000,52.0,28.0,10.0,14.948,None,None,None,None,1,13,25.0,0
http://www.cian.ru/sale/flat/149495896/,1,6590000,35.0,19.0,7.0,18.517,3,1,0,1,0,6,9.0,0
